Index,Position,Wrong_Tag,Preceding_Tag,Proceeding_Tag
113,11,VERB_NOUN,DET,NOUN
114,13,NOUN_ADJ,DET,ADJ
114,14,ADJ_NOUN,NOUN,NUM
114,23,DET_PRON,.,VERB
114,25,VERB_ADJ,VERB,ADV
114,26,ADV_ADJ,VERB,.
115,20,ADV_PRT,ADP,VERB
116,0,NOUN_ADJ,,NOUN
117,6,PRT_ADP,VERB,VERB
117,7,VERB_NOUN,PRT,.
118,5,ADV_ADJ,ADV,CONJ
118,9,ADV_PRT,ADP,ADP
119,9,VERB_NOUN,DET,NOUN
120,10,NOUN_ADJ,DET,NOUN
121,16,NOUN_VERB,NOUN,.
121,19,NUM_ADJ,DET,NOUN
121,33,NUM_NOUN,ADJ,.
122,13,NOUN_ADJ,DET,NOUN
123,0,NOUN_DET,,CONJ
124,4,PRT_ADP,NOUN,ADP
124,8,NOUN_VERB,NOUN,ADP
124,10,NOUN_VERB,ADP,.
124,9,ADP_PRT,NOUN,NOUN
124,8,NOUN_VERB,NOUN,ADP
124,10,NOUN_VERB,ADP,.
125,9,NOUN_ADJ,.,NOUN
126,2,PRT_ADP,VERB,ADP
126,6,NOUN_ADJ,ADJ,ADP
127,2,NOUN_ADJ,NOUN,NOUN
128,8,NOUN_VERB,NOUN,.
129,13,DET_ADP,NOUN,NOUN
130,8,ADJ_NOUN,NOUN,NOUN
130,9,NOUN_VERB,ADJ,ADV
131,18,NOUN_ADJ,DET,ADJ
132,13,NOUN_VERB,VERB,NUM
133,15,ADV_ADP,NOUN,ADP
134,9,NOUN_VERB,NOUN,ADV
134,10,ADV_ADJ,NOUN,ADP
134,21,ADV_ADP,.,NUM
134,29,PRT_ADP,NOUN,.
135,19,VERB_NOUN,ADP,.
136,3,VERB_NOUN,DET,NOUN
137,28,ADJ_NOUN,NOUN,ADJ
137,32,NOUN_VERB,CONJ,ADP
137,47,NOUN_ADJ,DET,NOUN
138,1,NOUN_ADJ,DET,ADJ
138,14,ADP_ADV,CONJ,DET
139,3,NOUN_ADJ,PRON,.
140,9,PRON_ADP,NOUN,VERB
140,10,VERB_NOUN,PRON,DET
140,14,VERB_NOUN,CONJ,PRT
140,10,VERB_NOUN,PRON,DET
140,14,VERB_NOUN,CONJ,PRT
141,22,ADV_ADJ,ADV,ADJ
141,23,ADJ_NOUN,ADV,PRON
141,30,ADV_NOUN,NUM,PRT
141,32,ADV_PRT,PRT,.
142,0,NOUN_ADJ,,NOUN
142,12,NOUN_ADJ,DET,.
142,0,NOUN_ADJ,,NOUN
142,12,NOUN_ADJ,DET,.
142,21,ADJ_NOUN,CONJ,ADP
143,6,NOUN_ADJ,DET,.
144,17,VERB_NOUN,.,NOUN
144,29,NOUN_ADJ,.,NOUN
145,13,NOUN_ADJ,DET,NOUN
146,1,VERB_NOUN,DET,NOUN
146,17,NOUN_VERB,NOUN,NOUN
147,1,NOUN_X,.,NOUN
147,2,NOUN_X,NOUN,VERB
147,1,NOUN_X,.,NOUN
147,2,NOUN_X,NOUN,VERB
147,6,ADV_ADP,NOUN,NUM
148,4,ADJ_ADV,ADV,ADP
149,2,ADP_PRT,NOUN,.
150,7,ADJ_NOUN,DET,ADP
150,17,ADJ_ADV,PRT,ADP
151,2,ADP_PRT,NOUN,.
152,9,ADP_ADV,VERB,ADP
152,10,ADP_PRT,ADP,NOUN
152,11,NOUN_VERB,ADP,NUM
153,8,NUM_ADJ,DET,NOUN
154,22,ADV_ADP,ADV,ADV
154,23,ADV_ADJ,ADV,ADP
155,2,ADV_ADJ,DET,ADJ
156,2,VERB_ADJ,ADJ,NOUN
157,2,VERB_NOUN,NOUN,NOUN
158,1,NOUN_ADJ,DET,NOUN
158,11,VERB_NOUN,VERB,.
159,21,NOUN_VERB,.,NUM
160,36,NOUN_ADJ,DET,NOUN
161,16,ADJ_ADV,CONJ,NOUN
161,17,NOUN_ADJ,ADJ,.
162,15,ADJ_NOUN,NOUN,CONJ
163,19,NOUN_VERB,CONJ,DET
164,0,NOUN_ADJ,,NOUN
164,7,VERB_NOUN,DET,NOUN
165,0,X_NOUN,,NOUN
165,2,NOUN_VERB,NOUN,ADP
166,4,VERB_NOUN,NOUN,ADP
166,9,ADJ_ADV,VERB,PRON
167,0,PRT_NOUN,,DET
168,0,NOUN_VERB,,PRT
169,36,ADJ_NOUN,.,CONJ
170,0,ADJ_ADV,,.
171,13,ADJ_NOUN,DET,NOUN
172,7,ADJ_NOUN,ADJ,ADJ
172,10,PRT_ADP,NOUN,VERB
172,11,VERB_NOUN,PRT,DET
172,12,DET_ADP,VERB,ADJ
173,15,NOUN_ADJ,DET,NOUN
173,16,NOUN_ADJ,NOUN,NOUN
173,15,NOUN_ADJ,DET,NOUN
173,16,NOUN_ADJ,NOUN,NOUN
174,0,NOUN_ADJ,,NOUN
174,16,NOUN_VERB,.,NUM
175,22,PRT_ADP,VERB,VERB
175,23,VERB_NOUN,PRT,ADP
176,10,VERB_NOUN,.,.
176,29,VERB_NOUN,PRT,ADP
176,28,PRT_ADP,VERB,VERB
176,10,VERB_NOUN,.,.
176,29,VERB_NOUN,PRT,ADP
177,14,ADJ_NOUN,ADJ,NOUN
178,8,NOUN_VERB,PRT,.
179,22,NOUN_VERB,NOUN,NOUN
180,22,PRON_DET,VERB,NOUN
181,1,ADV_ADJ,ADP,ADP
182,6,PRT_ADP,NOUN,VERB
182,7,VERB_NOUN,PRT,PRT
183,17,NOUN_ADJ,ADV,NOUN
184,7,NOUN_ADJ,DET,DET
185,18,NOUN_ADJ,ADP,NOUN
186,19,VERB_ADJ,VERB,NOUN
187,5,ADP_PRT,VERB,ADV
187,6,ADV_ADP,ADP,NOUN
187,7,NOUN_NUM,ADV,.
188,17,ADJ_ADV,VERB,ADV
189,19,NOUN_ADJ,CONJ,NOUN
190,14,VERB_NOUN,NOUN,ADP
190,23,ADP_ADV,ADV,ADP
191,21,ADP_ADJ,ADV,NOUN
192,6,NOUN_ADJ,DET,NOUN
193,10,VERB_ADJ,ADP,NOUN
194,0,ADJ_NOUN,,.
195,7,ADP_PRT,VERB,DET
196,4,VERB_ADJ,ADP,NOUN
196,6,ADP_PRT,NOUN,ADP
197,2,ADV_PRT,VERB,ADP
198,34,ADJ_NOUN,ADJ,NOUN
199,38,NOUN_VERB,ADJ,CONJ
200,1,VERB_NOUN,ADP,.
200,5,NOUN_ADV,NOUN,.
200,7,ADJ_NOUN,.,VERB
201,15,NOUN_ADJ,DET,NOUN
202,20,NOUN_ADJ,VERB,NOUN
203,4,NOUN_ADJ,DET,CONJ
204,10,ADJ_NUM,VERB,NOUN
204,20,NOUN_VERB,NOUN,ADP
205,8,ADP_ADV,ADV,.
206,5,ADP_DET,VERB,NOUN
206,6,NOUN_ADJ,ADP,NOUN
207,28,NOUN_ADJ,DET,ADJ
207,31,NOUN_ADJ,ADJ,ADP
207,30,ADJ_ADV,ADJ,NOUN
207,28,NOUN_ADJ,DET,ADJ
207,31,NOUN_ADJ,ADJ,ADP
207,37,ADJ_NOUN,NOUN,.
208,0,NOUN_NUM,,VERB
209,29,ADJ_NOUN,NOUN,.
210,2,ADJ_ADV,VERB,ADP
211,4,NOUN_VERB,NOUN,.
212,10,VERB_NOUN,NOUN,ADP
213,0,NOUN_VERB,,VERB
214,30,NOUN_ADJ,DET,ADJ
215,20,ADV_PRT,ADP,ADP
216,0,NOUN_ADJ,,NOUN
217,0,VERB_NOUN,,NOUN
218,7,ADP_ADV,VERB,ADP
218,32,NOUN_ADJ,DET,NOUN
219,0,VERB_NOUN,,.
219,6,ADP_ADV,.,ADP
220,11,NOUN_ADJ,ADP,NOUN
221,13,NOUN_ADJ,NUM,NOUN
222,9,NOUN_ADJ,ADP,NOUN
223,10,VERB_NOUN,DET,NOUN
224,0,VERB_NOUN,,ADP
225,14,ADP_ADV,.,ADP
225,22,ADP_PRT,NOUN,ADP
225,25,VERB_ADJ,DET,NOUN
225,33,NOUN_NUM,ADV,ADP
226,20,ADV_ADP,ADP,ADJ
227,13,NOUN_VERB,DET,ADP
227,17,NOUN_VERB,NOUN,NOUN
227,13,NOUN_VERB,DET,ADP
227,17,NOUN_VERB,NOUN,NOUN
228,9,NOUN_ADJ,ADP,ADJ
229,15,NOUN_ADJ,VERB,ADJ
229,23,NOUN_VERB,NOUN,VERB
230,21,ADJ_NOUN,NUM,NOUN
231,4,ADJ_ADV,VERB,ADP
232,21,NOUN_ADJ,VERB,NUM
232,22,NUM_NOUN,NOUN,.
233,8,NOUN_ADJ,.,NOUN
233,11,NOUN_ADJ,.,NUM
233,8,NOUN_ADJ,.,NOUN
233,11,NOUN_ADJ,.,NUM
234,8,NOUN_NUM,ADP,ADP
235,0,NOUN_ADJ,,NOUN
236,3,ADJ_NUM,NOUN,ADJ
236,7,VERB_ADJ,VERB,NOUN
236,25,NOUN_VERB,NOUN,ADP
237,0,ADV_ADP,,NUM
238,12,VERB_NOUN,ADP,NOUN
239,26,VERB_NOUN,ADP,ADJ
240,7,NOUN_ADJ,DET,.
241,12,NOUN_ADJ,NOUN,CONJ
242,1,VERB_NOUN,ADJ,NOUN
243,6,VERB_NOUN,NOUN,.
244,10,NOUN_ADJ,DET,ADJ
245,2,PRT_ADP,VERB,PRT
245,13,PRT_ADP,VERB,DET
245,10,NOUN_ADJ,ADP,NOUN
245,2,PRT_ADP,VERB,PRT
245,13,PRT_ADP,VERB,DET
246,14,VERB_NOUN,VERB,ADP
247,25,PRT_ADP,VERB,VERB
247,26,VERB_NOUN,PRT,NOUN
248,16,PRT_ADP,NOUN,VERB
248,17,VERB_NOUN,PRT,CONJ
249,10,ADP_ADV,ADV,.
249,18,ADV_ADP,VERB,NOUN
249,19,NOUN_NUM,ADV,DET
250,24,VERB_NOUN,ADP,DET
250,27,VERB_NOUN,ADJ,ADP
250,24,VERB_NOUN,ADP,DET
250,27,VERB_NOUN,ADJ,ADP
250,40,ADJ_NOUN,NUM,NOUN
251,7,NOUN_NUM,ADP,DET
252,3,PRT_ADP,VERB,VERB
252,4,VERB_NOUN,PRT,DET
252,7,NOUN_VERB,NOUN,ADV
252,8,ADV_PRT,NOUN,NOUN
253,14,NOUN_NUM,VERB,ADP
254,16,ADJ_ADV,VERB,ADP
255,23,ADV_ADP,ADV,ADJ
255,35,ADJ_ADV,VERB,PRON
256,37,ADJ_NOUN,DET,VERB
257,3,ADV_ADJ,DET,VERB
258,16,PRT_ADP,NOUN,VERB
258,17,VERB_ADJ,PRT,ADV
258,27,ADJ_NOUN,DET,.
259,7,ADP_VERB,.,ADP
260,14,VERB_NOUN,DET,PRT
260,15,PRT_ADP,VERB,DET
261,8,NOUN_VERB,NOUN,ADJ
261,9,ADJ_PRT,NOUN,ADP
262,15,PRT_ADP,VERB,NUM
263,22,ADJ_NUM,NOUN,NOUN
264,8,PRT_ADP,NOUN,VERB
264,9,VERB_NOUN,PRT,NOUN
265,0,ADJ_ADV,,ADP
265,20,ADP_ADV,ADJ,ADP
266,15,ADJ_NOUN,NOUN,NOUN
267,3,NOUN_X,.,NOUN
267,4,NOUN_X,NOUN,NOUN
267,5,NOUN_X,NOUN,.
267,3,NOUN_X,.,NOUN
267,4,NOUN_X,NOUN,NOUN
267,5,NOUN_X,NOUN,.
267,3,NOUN_X,.,NOUN
267,4,NOUN_X,NOUN,NOUN
267,5,NOUN_X,NOUN,.
268,41,VERB_NOUN,DET,NOUN
269,2,NOUN_VERB,ADV,ADP
270,2,NUM_NOUN,ADJ,NOUN
270,31,VERB_ADJ,ADP,NOUN
271,12,NOUN_ADJ,ADP,NOUN
271,25,ADV_ADP,ADP,NUM
272,10,NOUN_VERB,NOUN,PRON
272,24,ADJ_NOUN,DET,.
272,31,ADV_ADP,ADP,NUM
273,14,NOUN_ADJ,ADP,NOUN
274,14,NOUN_VERB,NOUN,VERB
275,0,NOUN_NUM,,ADP
276,10,ADP_PRON,CONJ,PRT
277,6,NOUN_NUM,VERB,.
278,6,ADJ_ADV,CONJ,ADP
278,22,ADP_PRT,VERB,VERB
279,7,ADJ_ADV,VERB,ADP
279,17,NOUN_VERB,NOUN,NOUN
279,18,NOUN_VERB,NOUN,.
279,17,NOUN_VERB,NOUN,NOUN
279,18,NOUN_VERB,NOUN,.
280,22,ADV_ADJ,DET,ADJ
281,3,NOUN_VERB,NOUN,DET
282,4,NOUN_VERB,NOUN,VERB
283,7,ADV_ADJ,DET,ADJ
284,3,ADV_ADP,VERB,NOUN
285,12,ADV_ADP,VERB,NOUN
285,21,VERB_NOUN,NOUN,.
286,31,NOUN_ADJ,.,NOUN
287,7,ADJ_NOUN,DET,NOUN
287,8,NOUN_VERB,ADJ,DET
288,0,NOUN_ADJ,,NOUN
288,10,NOUN_NUM,ADP,ADP
288,13,NUM_ADJ,DET,NOUN
288,18,ADV_ADJ,NOUN,ADP
289,8,PRON_DET,VERB,ADJ
290,19,VERB_NOUN,NOUN,ADP
291,10,VERB_NOUN,NOUN,ADP
291,19,NOUN_VERB,NOUN,ADP
292,12,NOUN_X,ADP,NOUN
292,13,NOUN_X,NOUN,.
292,12,NOUN_X,ADP,NOUN
292,13,NOUN_X,NOUN,.
293,1,ADJ_NOUN,DET,CONJ
294,0,NOUN_ADJ,,CONJ
294,2,NOUN_ADJ,CONJ,VERB
294,0,NOUN_ADJ,,CONJ
294,2,NOUN_ADJ,CONJ,VERB
294,8,ADP_ADV,NOUN,ADP
295,0,DET_PRON,,NOUN
295,1,NOUN_VERB,DET,VERB
296,5,NOUN_VERB,NOUN,.
296,10,ADJ_NOUN,.,CONJ
296,15,ADJ_NOUN,CONJ,NOUN
296,10,ADJ_NOUN,.,CONJ
296,15,ADJ_NOUN,CONJ,NOUN
297,10,ADJ_NOUN,ADJ,NOUN
298,11,NOUN_ADJ,ADP,NOUN
298,21,ADJ_NOUN,ADP,.
299,2,VERB_NOUN,ADV,PRT
299,3,PRT_ADP,VERB,NUM
300,6,VERB_ADP,NOUN,ADP
301,0,VERB_NOUN,,NOUN
301,6,ADJ_NUM,DET,ADJ
301,8,VERB_ADJ,ADJ,NOUN
302,0,VERB_NOUN,,ADV
302,2,ADV_ADP,ADV,NUM
303,0,VERB_NOUN,,ADV
304,5,VERB_X,.,NOUN
304,6,NOUN_X,VERB,.
305,4,CONJ_DET,VERB,ADJ
305,7,NOUN_ADJ,CONJ,ADJ
306,0,DET_PRON,,VERB
307,9,ADJ_NOUN,DET,.
308,10,NOUN_ADV,NOUN,CONJ
308,14,NOUN_ADJ,ADJ,NOUN
309,7,ADP_PRT,VERB,ADJ
309,8,ADJ_ADV,ADP,ADP
309,16,NOUN_VERB,NOUN,ADV
310,15,VERB_ADP,PRT,ADV
311,2,ADP_VERB,VERB,ADV
311,12,ADP_PRT,PRT,DET
311,26,PRT_ADP,NOUN,VERB
311,27,VERB_NOUN,PRT,ADP
312,0,NOUN_NUM,,VERB
313,1,DET_PRON,ADV,VERB
314,3,ADP_CONJ,ADV,NOUN
315,10,NOUN_ADJ,ADP,NOUN
316,13,NOUN_ADJ,DET,NOUN
316,31,NOUN_ADJ,DET,NOUN
316,13,NOUN_ADJ,DET,NOUN
316,31,NOUN_ADJ,DET,NOUN
317,6,VERB_NOUN,NOUN,DET
318,6,VERB_NOUN,.,DET
319,1,ADV_ADP,DET,NUM
320,1,NOUN_VERB,.,.
321,1,NOUN_VERB,.,.
321,12,NOUN_ADJ,DET,NOUN
322,10,NOUN_VERB,NOUN,ADP
322,15,NOUN_VERB,PRT,PRT
322,10,NOUN_VERB,NOUN,ADP
322,15,NOUN_VERB,PRT,PRT
323,0,NOUN_ADJ,,ADJ
324,20,PRT_ADP,NOUN,ADP
325,3,ADJ_NOUN,DET,NOUN
325,4,NOUN_VERB,ADJ,DET
325,9,ADV_ADJ,DET,ADV
326,23,VERB_NOUN,DET,NOUN
327,1,NOUN_ADJ,DET,NOUN
327,13,VERB_NOUN,ADP,.
328,10,ADV_ADP,NOUN,.
329,8,PRT_ADP,NOUN,VERB
329,10,PRT_ADP,VERB,DET
329,9,VERB_NOUN,PRT,PRT
329,8,PRT_ADP,NOUN,VERB
329,10,PRT_ADP,VERB,DET
330,12,ADJ_NOUN,.,NOUN
331,12,NUM_NOUN,ADJ,VERB
332,8,VERB_NOUN,CONJ,ADP
333,7,PRT_ADP,NOUN,VERB
333,8,VERB_NOUN,PRT,ADJ
333,9,ADJ_NOUN,VERB,CONJ
334,9,NOUN_VERB,NOUN,.
335,9,ADJ_ADV,CONJ,ADP
336,2,NOUN_PRT,ADJ,ADP
337,7,ADJ_VERB,ADV,.
338,5,ADJ_NOUN,ADJ,NOUN
338,18,NUM_NOUN,DET,ADV
339,2,ADJ_NOUN,DET,NOUN
339,3,NOUN_VERB,ADJ,ADV
339,13,NOUN_X,X,ADP
340,2,NOUN_ADJ,VERB,NOUN
341,7,NOUN_ADJ,ADP,NOUN
341,30,ADV_ADP,NOUN,.
342,15,NOUN_VERB,PRT,ADP
343,13,ADV_ADP,VERB,ADJ
344,3,NOUN_X,X,VERB
344,7,NOUN_VERB,NOUN,.
345,1,NOUN_ADJ,ADV,VERB
345,10,PRT_ADP,VERB,VERB
345,11,VERB_NOUN,PRT,.
346,18,VERB_NOUN,ADP,.
347,26,NOUN_ADJ,.,.
347,32,ADP_ADV,.,ADP
348,8,ADV_ADJ,DET,ADJ
349,1,ADV_ADP,.,NUM
350,0,PRT_NOUN,,.
351,3,ADP_PRT,VERB,DET
352,8,DET_PRON,VERB,VERB
353,22,NOUN_ADJ,DET,NOUN
354,15,ADJ_ADV,NOUN,.
355,11,ADP_PRON,VERB,.
355,50,ADV_PRT,VERB,ADP
356,0,DET_PRON,,VERB
356,24,PRT_ADP,VERB,VERB
356,25,VERB_NOUN,PRT,NOUN
357,0,ADJ_ADV,,ADP
357,20,ADV_ADJ,DET,ADJ
358,23,NOUN_ADJ,ADP,NOUN
359,11,VERB_NOUN,DET,NOUN
360,12,ADP_DET,VERB,ADJ
361,39,NOUN_ADJ,VERB,NOUN
362,16,NOUN_ADJ,ADP,NOUN
363,22,ADJ_PRT,NOUN,ADP
363,35,DET_ADV,VERB,NOUN
363,36,NOUN_VERB,DET,ADV
364,21,PRT_ADP,NOUN,VERB
364,22,VERB_NOUN,PRT,NUM
365,18,ADP_DET,CONJ,ADJ
365,27,NOUN_VERB,PRON,.
366,19,ADJ_NOUN,ADP,VERB
367,8,NOUN_ADJ,CONJ,NOUN
368,6,ADV_ADJ,ADJ,.
369,13,ADP_DET,VERB,ADJ
370,1,NOUN_ADJ,DET,NOUN
370,16,VERB_NOUN,DET,NOUN
370,21,VERB_NOUN,DET,NOUN
370,16,VERB_NOUN,DET,NOUN
370,21,VERB_NOUN,DET,NOUN
371,9,ADV_ADP,VERB,ADV
372,40,ADP_ADV,.,VERB
372,42,ADP_PRT,VERB,.
373,15,VERB_NOUN,NOUN,ADP
374,18,NOUN_ADJ,DET,NOUN
374,24,VERB_NOUN,ADJ,PRT
375,31,VERB_NOUN,DET,NOUN
376,2,NOUN_VERB,VERB,ADP
376,10,PRT_ADP,NOUN,VERB
376,11,VERB_NOUN,PRT,NOUN
377,7,NOUN_VERB,NOUN,ADP
378,6,ADP_ADV,ADV,VERB
379,11,NOUN_ADJ,DET,NOUN
380,13,NOUN_ADJ,NOUN,NOUN
381,0,DET_PRON,,VERB
382,6,NOUN_VERB,ADV,ADP
382,11,NOUN_ADJ,CONJ,NOUN
383,30,NOUN_ADJ,ADP,NOUN
384,3,NOUN_VERB,NOUN,DET
384,28,ADJ_NOUN,ADJ,CONJ
384,36,ADP_ADV,.,ADP
385,9,ADP_DET,VERB,ADJ
385,31,ADJ_ADV,ADV,.
386,20,NOUN_VERB,NOUN,ADP
386,28,NOUN_VERB,NOUN,PRON
386,20,NOUN_VERB,NOUN,ADP
